nr_epochs,iou_score,f1_score,f2_score,accuracy,recall
0,0.23286136984825134,0.37775757908821106,0.47238391637802124,0.547851026058197,0.5670353174209595
1,0.3456604778766632,0.5137409567832947,0.713658332824707,0.43501225113868713,0.973425567150116
2,0.3939666152000427,0.5652453899383545,0.7386825084686279,0.5575656294822693,0.9486001133918762
3,0.4228285551071167,0.5943492650985718,0.7459376454353333,0.6200335025787354,0.9236524105072021
4,0.38994088768959045,0.5610898733139038,0.7365641593933105,0.5490881204605103,0.9487307667732239
5,0.4365805983543396,0.6078052520751953,0.7538468241691589,0.6412187814712524,0.9229874610900879
6,0.4562229514122009,0.6265839338302612,0.7633452415466309,0.6702225804328918,0.9215298891067505
7,0.4434813857078552,0.614460825920105,0.7631274461746216,0.6463638544082642,0.9334248900413513
8,0.45505180954933167,0.6254785060882568,0.7574422359466553,0.6730819940567017,0.9089040160179138
9,0.4531812071800232,0.6237091422080994,0.759498655796051,0.6679773330688477,0.9171702265739441
10,0.4510834813117981,0.6217195391654968,0.7669828534126282,0.6575990915298462,0.9336897134780884
11,0.4701184034347534,0.6395654082298279,0.770372211933136,0.6886152029037476,0.919364333152771
12,0.4636308550834656,0.6335352063179016,0.7598064541816711,0.6860389709472656,0.9085191488265991
13,0.4584644138813019,0.6286947131156921,0.7575697302818298,0.6789853572845459,0.9089778065681458
14,0.4610861837863922,0.6311553716659546,0.758533775806427,0.6827285885810852,0.9071933627128601
15,0.46574559807777405,0.6355067491531372,0.7538142800331116,0.6942429542541504,0.8965802192687988
16,0.4689176082611084,0.6384531855583191,0.7682999968528748,0.6882281303405762,0.9181084632873535
17,0.4755525290966034,0.6445754766464233,0.761335015296936,0.7042425870895386,0.8996260762214661
18,0.47704723477363586,0.6459471583366394,0.7764950394630432,0.6953129768371582,0.9233653545379639
19,0.4998634457588196,0.6665452122688293,0.7501617670059204,0.7463205456733704,0.8559592366218567
20,0.4714304804801941,0.6407784819602966,0.7467626929283142,0.7085458636283875,0.8701141476631165
21,0.5083802938461304,0.6740744709968567,0.7503864765167236,0.7569087743759155,0.8463674187660217
22,0.49445289373397827,0.6617175936698914,0.7433987259864807,0.7434824109077454,0.8455889225006104
23,0.4867289364337921,0.6547648310661316,0.7379144430160522,0.7367024421691895,0.8436408638954163
24,0.5128318071365356,0.6779760122299194,0.7566003203392029,0.758743405342102,0.8571121096611023
25,0.5043482780456543,0.6705206036567688,0.7359704971313477,0.7603969573974609,0.8276703357696533
26,0.5210496783256531,0.6851184964179993,0.7590108513832092,0.7671753764152527,0.8542974591255188
27,0.5274453163146973,0.6906241774559021,0.7498812079429626,0.7792954444885254,0.8360092043876648
28,0.5319238901138306,0.6944521069526672,0.7427494525909424,0.7877291440963745,0.8171930909156799
29,0.5298148989677429,0.6926522254943848,0.7226349711418152,0.7954760789871216,0.7876593470573425
30,0.5253922343254089,0.6888617873191833,0.7353042364120483,0.7845961451530457,0.8093059062957764
31,0.541347086429596,0.702433705329895,0.7563730478286743,0.7908154726028442,0.8359756469726562
32,0.5409877300262451,0.7021310925483704,0.727028489112854,0.8043222427368164,0.7872146368026733
33,0.5086270570755005,0.6742913722991943,0.7511703372001648,0.7567538619041443,0.8509361743927002
34,0.5411828756332397,0.7022954821586609,0.7683753967285156,0.7847385406494141,0.8557335734367371
35,0.5176559090614319,0.682178258895874,0.708371102809906,0.7902020812034607,0.7703329920768738
36,0.5539494752883911,0.7129569053649902,0.7586953639984131,0.8023359775543213,0.8324462175369263
37,0.5570679903030396,0.7155345678329468,0.7568275928497314,0.8061671257019043,0.8265480995178223
38,0.5465737581253052,0.7068188786506653,0.7400673627853394,0.8036957383155823,0.8075193762779236
39,0.526356041431427,0.6896896958351135,0.7396038174629211,0.7834237217903137,0.81643146276474
40,0.5390626788139343,0.7005077600479126,0.7618656158447266,0.7857233881950378,0.8479792475700378
41,0.5280619859695435,0.6911525726318359,0.7327174544334412,0.7887141704559326,0.8065504431724548
42,0.5462000966072083,0.7065063118934631,0.747221052646637,0.800041913986206,0.8197129964828491
43,0.5455064177513123,0.7059258222579956,0.7664196491241455,0.7902482151985168,0.85184645652771
44,0.5509195327758789,0.7104424238204956,0.7452638745307922,0.805492103099823,0.8157212734222412
45,0.5544026494026184,0.7133321166038513,0.7558586597442627,0.8040550351142883,0.8320394158363342
